Code,Area name,Inner/ Outer London,2011_Population,2012_Population,2013_Population,2014_Population,2015_Population,2016_Population,2017_Population,2018_Population,2019_Population,2020_Population,2021_Population,2022_Population
E09000001,City of London,Inner,7412,7204,6848,6872,7160,7401,7405,7681,7953,8046,8164,8289
E09000002,Barking and Dagenham,Outer,187418,190949,194741,198683,202368,206849,210513,212773,214858,218367,221495,224407
E09000003,Barnet,Outer,357653,364071,369203,375030,379806,386198,391446,397049,402363,407148,411275,415041
E09000004,Bexley,Outer,233002,234499,236915,240093,242370,244988,247179,249999,252885,254970,256845,258607
E09000005,Brent,Outer,313084,315499,318103,321601,324851,329093,332750,336859,340710,343853,346437,348783
E09000006,Bromley,Outer,311110,314592,318455,321834,325413,327445,330909,332733,334292,336395,339466,342548
E09000007,Camden,Inner,220087,224961,229718,234845,241058,246180,249556,252637,255526,257384,259344,261082
E09000008,Croydon,Outer,364815,368886,372752,376040,379031,382304,386346,391296,396548,400272,403461,406399
E09000009,Ealing,Outer,339665,341022,342845,342469,343410,343547,347126,350784,354184,361833,369685,377916
E09000010,Enfield,Outer,314011,317363,320600,324650,328509,331471,335647,337697,339480,342993,346635,349994
E09000011,Greenwich,Outer,255483,260068,264008,268678,274803,279766,282774,286322,289650,292466,294837,297039
E09000012,Hackney,Inner,247578,252515,257775,263546,269405,273922,277475,281740,286425,289488,292023,294312
E09000013,Hammersmith and Fulham,Inner,182790,180195,179030,178710,179754,179998,181889,184050,186075,190721,195981,201406
E09000014,Haringey,Inner,256438,259810,264284,268439,273762,279349,282397,284288,285949,288913,291330,293503
E09000015,Harrow,Outer,241063,242941,243937,246575,247694,249316,252052,255369,258861,261348,263484,265449
E09000016,Havering,Outer,238281,240087,242434,246328,249439,253137,256162,257511,258655,261830,265930,271368
E09000017,Hillingdon,Outer,276134,282391,287443,293325,298370,303106,307040,309926,312567,316253,319467,322492
E09000018,Hounslow,Outer,255334,259459,262814,265975,269177,271546,274970,278264,281339,284358,286947,289358
E09000019,Islington,Inner,206639,211400,216024,221383,228045,233218,235370,238267,241589,242827,244372,245839
E09000020,Kensington and Chelsea,Inner,158652,156331,155995,156591,158112,157127,157954,159301,160531,160794,161552,162446
E09000021,Kingston upon Thames,Outer,160469,163939,166826,169991,173558,176140,178419,179581,180598,182728,184660,186434
E09000022,Lambeth,Inner,304808,310527,314569,318543,324758,328237,331157,334724,338028,340324,342250,343982
E09000023,Lewisham,Inner,277525,282143,286767,292520,297912,302454,306380,310324,314027,317465,320574,323421
E09000024,Merton,Outer,201226,202908,203906,204198,205248,205712,208225,209421,210452,212658,214740,216662
E09000025,Newham,Inner,311912,315536,319679,325774,334269,342430,347448,353245,359470,363552,366943,370004
E09000026,Redbridge,Outer,281521,284743,288398,293181,296919,299375,303887,305910,307690,312264,316288,320018
E09000027,Richmond upon Thames,Outer,187527,189145,191365,193585,194730,195846,197988,199419,200703,201713,203312,205051
E09000028,Southwark,Inner,289361,294174,299109,303182,309545,313867,317735,322302,327271,330290,332679,334826
E09000029,Sutton,Outer,191515,194022,196306,198526,200537,202612,204933,207378,209666,211297,213340,215228
E09000030,Tower Hamlets,Inner,256685,263676,273563,284688,295909,305527,311044,317203,323696,328043,331620,334834
E09000031,Waltham Forest,Outer,260397,263221,266452,268675,271825,276498,280050,283524,286776,290024,292788,295311
E09000032,Wandsworth,Inner,308300,308902,311106,312735,315134,316686,319731,324400,328828,332731,337783,343147
E09000033,Westminster,Inner,219582,223858,226841,233292,242299,247614,250049,254375,258511,259981,262317,264875
