BoroughName,Code,Inner/ Outer London,2023_crime_rate_per_1000,2024_crime_rate_per_1000
Barking and Dagenham,E09000002,Outer,92.22513965495973,85.84310425269364
Barnet,E09000003,Outer,67.79968968971362,66.23998631581948
Bexley,E09000004,Outer,63.827661471302534,62.71356707433086
Brent,E09000005,Outer,91.0571006575158,90.94101322459152
Bromley,E09000006,Outer,68.64977289581016,69.23198687599833
Camden,E09000007,Inner,155.11592645927144,162.07550749383418
Croydon,E09000008,Outer,82.69595218426551,83.7770234911734
Ealing,E09000009,Outer,82.24603310369137,79.20261085722129
Enfield,E09000010,Outer,82.7677475848662,82.76254261575579
Greenwich,E09000011,Outer,93.21362731852759,89.54649265905383
Hackney,E09000012,Inner,109.6438953733747,110.9087304121061
Hammersmith and Fulham,E09000013,Inner,107.10778028825916,99.85134146629227
Haringey,E09000014,Inner,99.86351151346427,94.49981791942598
Harrow,E09000015,Outer,58.052560646900275,61.1626832757182
Havering,E09000016,Outer,76.71453719333886,69.64164016356202
Hillingdon,E09000017,Outer,72.80845803273243,88.36607055604418
Hounslow,E09000018,Outer,94.45549989706993,89.2801713699018
Islington,E09000019,Inner,116.32774514288953,123.62764837133484
Kensington and Chelsea,E09000020,Inner,142.4703684420079,138.2087550298744
Kingston upon Thames,E09000021,Outer,63.96131359290962,58.961516515564576
Lambeth,E09000022,Inner,103.69984215937558,109.88731580468072
Lewisham,E09000023,Inner,90.97382070404812,91.04445732767827
Merton,E09000024,Outer,64.90668718907182,61.882423395548464
Newham,E09000025,Inner,102.5381528260607,108.02459244065551
Redbridge,E09000026,Outer,75.09696815980105,72.55190603244702
Richmond upon Thames,E09000027,Outer,57.92228651043985,57.52660557505004
Southwark,E09000028,Inner,111.92854638482977,116.54057812186988
Sutton,E09000029,Outer,60.31402024300832,58.436975868168524
Tower Hamlets,E09000030,Inner,105.87125539755917,103.03907131354363
Waltham Forest,E09000031,Outer,78.16392604870242,83.24501429263971
Wandsworth,E09000032,Inner,77.49402765654432,72.14977397467725
Westminster,E09000033,Inner,340.6429357139116,332.7052260258983
