Code,BoroughName,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
E09000001,City of London,"61,300","51,600","58,300","65,300","61,100","60,000","57,300","60,000","55,200","54,200","56,700","62,200","60,700"
E09000002,Barking and Dagenham,"19,400","19,600","20,100","21,000","21,800","22,100","23,300","23,900","25,200","25,700","26,800","28,000","28,600"
E09000003,Barnet,"24,100","24,200","25,800","26,800","27,100","27,700","28,800","28,700","29,900","30,700","32,200","33,500","34,400"
E09000004,Bexley,"22,600","22,300","23,100","24,400","24,400","24,500","26,100","26,900","26,900","28,000","28,800","29,300","31,800"
E09000005,Brent,"19,700","20,200","20,600","21,300","22,700","23,200","24,100","24,700","25,600","26,200","27,200","30,000","29,400"
E09000006,Bromley,"25,800","25,100","26,900","27,200","28,100","29,800","30,400","32,000","32,800","33,700","33,800","35,800","38,100"
E09000007,Camden,"29,400","30,400","31,600","32,000","33,100","34,400","35,500","37,300","35,600","38,200","38,900","38,900","40,600"
E09000008,Croydon,"22,000","22,700","23,900","24,300","25,100","26,300","25,600","27,500","27,800","29,400","29,100","30,400","31,800"
E09000009,Ealing,"20,800","21,300","22,700","23,200","24,600","24,900","26,100","26,700","26,400","28,200","29,500","30,900","31,500"
E09000010,Enfield,"20,900","22,300","22,700","23,900","25,300","25,100","25,400","26,300","27,300","28,300","29,500","29,900","31,300"
E09000011,Greenwich,"21,300","21,800","22,600","23,500","24,600","25,600","26,000","27,600","27,400","30,100","30,600","31,800","33,800"
E09000012,Hackney,"22,300","23,300","24,300","26,000","26,000","27,800","28,000","29,400","29,600","32,400","32,800","34,300","34,300"
E09000013,Hammersmith and Fulham,"27,100","27,600","27,600","30,100","30,100","32,000","32,300","33,200","34,100","35,800","36,200","37,000","38,300"
E09000014,Haringey,"21,500","22,200","23,300","24,400","25,800","25,600","25,100","27,100","27,400","28,300","30,000","31,300","31,800"
E09000015,Harrow,"22,300","23,000","24,000","25,200","26,100","26,300","27,300","27,600","27,600","29,500","30,200","32,300","33,200"
E09000016,Havering,"22,500","22,700","23,500","24,700","24,900","26,000","26,100","27,900","29,700","29,800","29,000","29,800","32,000"
E09000017,Hillingdon,"21,900","23,500","23,200","23,600","25,300","25,900","26,200","27,100","28,100","28,100","28,400","30,600","31,900"
E09000018,Hounslow,"21,600","21,800","22,400","23,700","24,700","25,000","26,100","26,400","27,800","27,500","28,500","29,300","30,600"
E09000019,Islington,"26,100","28,100","28,500","28,700","31,000","31,100","32,900","33,400","35,100","36,400","35,600","38,200","40,300"
E09000020,Kensington and Chelsea,"31,700","37,200","37,800","37,600","38,700","37,500","39,500","40,400","39,300","42,100","43,300","43,900","47,700"
E09000021,Kingston-upon-Thames,"24,800","26,000","26,500","26,100","29,100","30,300","30,200","32,400","33,300","33,500","34,700","35,900","37,300"
E09000022,Lambeth,"24,000","24,600","26,000","26,800","27,300","28,400","29,200","29,900","31,900","31,900","32,800","34,500","35,800"
E09000023,Lewisham,"23,200","22,900","23,000","24,000","24,900","25,800","26,700","27,300","27,900","30,100","30,900","32,000","34,500"
E09000024,Merton,"24,700","25,200","25,800","27,800","27,600","28,500","29,500","30,200","30,300","30,300","32,600","33,900","36,400"
E09000025,Newham,"17,400","17,600","18,500","20,100","20,200","22,100","22,500","24,100","24,300","24,600","26,600","28,300","28,900"
E09000026,Redbridge,"22,200","22,900","23,800","25,100","25,700","26,400","27,400","28,000","27,300","28,900","30,400","31,200","31,200"
E09000027,Richmond-upon-Thames,"30,600","31,500","33,400","33,700","35,800","35,500","36,600","36,100","37,600","38,900","39,500","44,000","45,300"
E09000028,Southwark,"23,800","24,300","25,000","26,200","27,700","27,100","29,400","29,400","31,400","33,500","33,900","34,400","36,200"
E09000029,Sutton,"22,300","25,300","25,000","25,100","25,900","27,400","27,300","28,200","29,700","30,200","31,400","33,300","33,400"
E09000030,Tower Hamlets,"24,000","24,700","25,800","27,000","26,600","28,900","30,500","30,200","31,100","32,700","34,100","35,500","37,300"
E09000031,Waltham Forest,"19,700","20,300","21,400","21,900","22,700","23,900","24,500","25,500","26,800","27,700","28,900","30,900","32,500"
E09000032,Wandsworth,"29,000","29,400","31,000","31,900","32,900","34,200","35,000","34,500","37,100","38,900","39,000","40,200","42,200"
E09000033,Westminster,"31,400","32,400","35,200","36,400","35,100","37,800","36,100","39,700","39,200","39,900","42,100","41,200","42,600"
